ID,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63
2,0.93207335,-0.5803654,-0.6168761,0.5192508,-0.00377766,-0.69103444,0.15826237,-0.031250548,-0.85467553,-0.014518218,0.3181169,-0.58823055,0.30478182,0.5103405,0.32385874,0.25157943,0.17750743,-1.0137085,-0.042224552,1.0808591,-0.23451447,0.7181925,0.8625393,-0.41126359,-0.92561907,0.75181156,-0.45269325,0.39991572,-0.29561156,-0.34733045,-0.9317892,-0.4369932,-0.09806743,0.7555438,-0.3102249,-0.04004712,-0.13385631,-0.05362878,-0.13329436,0.11986873,-0.6374876,-0.045730125,-0.08568079,0.53496,0.24545215,-0.32645336,-0.11176756,0.612166,0.5093128,1.3254809,0.188969,0.04256319,0.35355896,-0.06217665,-0.12092922,0.18984862,1.0858064,0.064111374,-0.23848343,0.8870319,0.06159392,-0.0018220406,0.07649814,-0.11687812
3,0.10143894,-0.96581984,0.7664261,-0.19347864,-0.54179156,-0.78269017,0.24182802,-0.07748649,-0.5796218,-0.8252623,0.069020435,-0.5063785,-0.12798804,-0.3318657,-0.38745013,0.5695076,-0.111154966,0.024629297,-0.41992489,0.837291,0.14459279,0.73497325,-0.2509648,-0.5979788,-0.045749143,0.44382644,-0.7495244,0.41525096,0.34867835,-0.44855618,-0.86303455,0.4014472,0.0002965961,0.64742875,-0.31081954,-0.6441642,-0.08922183,-0.7895836,-0.10234344,-0.36787766,-0.41008452,0.014959441,-0.06166961,-0.92017525,0.27170914,0.07961935,0.6855351,-0.34653255,0.71793187,0.85665977,-0.31505653,-0.9015285,0.40433618,-0.039364558,0.40137708,0.49342,0.7367264,-0.60602736,0.017235367,0.62878543,0.13174783,-0.38126895,-0.37938207,-0.9137503
4,0.88521415,-0.7619316,0.7218597,0.13263914,0.66831684,-0.6457044,0.51295245,-0.7620946,-0.15639637,0.12488158,0.87286204,-0.9658383,-1.1426501,-0.1234694,0.0491401,0.03957632,0.6134357,-0.5509031,0.2384462,0.10603901,0.24862653,0.8917539,0.23853987,-0.13065107,-0.40574536,0.31645682,-0.67325443,0.116105564,0.19865847,0.71160626,-0.60168064,0.15541898,0.80609894,0.2233697,0.17314702,0.27439728,0.5662142,-0.30277783,0.044790477,0.35008568,-0.10518245,0.33867943,-0.5343823,-0.26505533,-0.57527006,-0.34959486,-0.52804756,0.18798526,-0.12767401,0.78871685,-0.046108983,-1.0219287,0.4009478,0.4896895,-0.5600264,-0.17157255,0.08431864,0.28019613,-0.7056169,0.5229917,-0.017249469,-0.5660957,-0.18618244,-0.93984663
5,1.0325761,0.24578892,0.5900399,-0.09370704,0.31906897,-0.40671307,-0.0026711442,-0.026996993,-0.7026455,-0.0053439396,0.6760651,-0.24710667,-0.5261158,-0.5228946,0.37716362,-0.4248439,-0.565899,-0.7407248,-0.0822308,0.46562305,-0.3698836,1.198877,0.327553,-0.81309384,0.059842087,0.4010484,-0.34336117,-0.20189053,0.70596373,0.7907046,0.13773672,0.40679064,-0.14764518,-0.3321992,0.23559088,-0.25648874,-0.027359443,0.1486493,-0.059812706,-0.5792721,-1.2858526,-0.13916484,-0.076309785,-0.81789756,-0.569643,-0.20390065,0.11958265,-0.7572794,0.38406235,0.6829844,-0.4724043,-0.24254468,0.578083,0.45592323,0.263791,-0.113805614,1.073342,-0.81869817,-0.4184517,0.59244514,-0.2132417,-0.3367394,-0.45571962,0.20575643
7,0.9792527,-0.36849585,-0.32806346,0.30187503,1.2068938,0.04682166,0.39523235,0.19503182,-0.22680883,0.010907517,0.5550697,-1.1369193,-0.31442797,-0.27812818,0.566944,-0.2097361,0.13206735,-0.77393436,-0.76448774,-0.22003396,-0.035779413,0.18972959,-0.009201007,-0.9214884,-0.5407372,0.110860996,-0.5661663,0.15461908,0.67368335,-0.13089342,-0.64287806,0.4966004,-0.63807243,-0.008699144,-0.65082395,-0.17065488,0.5561553,0.34431782,0.5731175,-0.28623322,0.24163464,-0.44849765,0.7363484,-0.31866893,0.079373285,-0.5997874,-0.067734614,-0.1677528,0.794911,0.79513144,0.841749,-0.6592279,0.07612386,0.5940123,0.5845713,-0.26173982,0.65084803,-0.47560003,-0.3055957,0.23562199,-0.5571324,-0.64564383,-0.2771313,-0.4397612
8,0.9169632,-0.23093367,0.5784364,0.0950477,0.5974877,-0.97127914,0.19858992,0.041577913,0.056961477,-0.73085785,0.34766406,-0.05206065,-0.40506127,0.5572942,0.46818855,0.50968647,0.32450587,-0.6666825,-0.57154167,0.33964393,0.79407036,0.21849704,-0.2700482,-0.8059528,-0.5539581,0.8434968,-0.37143323,-0.84429514,0.43823254,0.40051916,-0.48969677,-0.2129494,-0.28015703,0.42798832,-0.9091182,-0.69869894,-0.22916244,-0.31027085,0.47122929,-0.025333768,-0.42005607,-0.3550287,-0.3259107,0.117251016,0.34501666,-0.7777359,-0.037251707,0.43226564,-0.4320013,0.28379652,-0.4035663,-0.60743093,0.8769179,0.8571651,0.39597884,-0.42391935,0.89143354,0.011599664,-0.009976668,-0.12924345,0.28180668,-0.24324714,-0.9559518,-0.15509632
9,0.8786849,-0.21614425,-0.23421171,-0.29030326,-0.29175705,0.07491563,-0.17909779,-0.6928509,-0.5178024,-0.42004532,0.873413,-0.9227874,-0.06461436,0.82236534,0.31037128,0.32058784,-0.17751122,-0.37394452,0.60897785,0.79494554,0.66818494,0.47194752,0.8845854,0.0129709635,0.046517637,0.25026086,-0.6158301,0.1264989,0.26663125,0.825131,-0.117650546,-0.23711133,0.31931517,0.92755103,0.04984731,-0.021373712,0.05375834,0.08065323,0.2601806,-0.47627944,-0.30445683,-0.1633225,-0.10809835,0.03680525,0.73383945,-0.7645621,-0.71809787,-0.22595337,-0.023720037,0.5642446,-0.6871038,-0.7969754,0.21611124,0.7350958,-0.10195303,0.076443925,0.60688037,-0.6682142,0.40614977,0.48985416,-0.69557256,-1.1168512,-0.64563894,0.3887683
11,0.44687918,0.004862746,0.27844056,0.36958975,0.07917525,-0.008389243,0.5184558,-0.83805674,0.044378947,-0.88116086,0.29774317,-1.2535505,-0.4008476,0.25132617,0.21015704,-0.25236952,0.017043171,-0.48890835,-0.29037672,0.6307984,0.6219577,0.833012,0.13529366,-0.5442979,-0.2886021,0.74968755,-0.5810637,-0.13187447,0.79784924,0.05851995,-0.06576088,-0.2705367,0.94868314,-0.28597605,0.29834998,-0.6588283,0.3214983,-0.46612197,-0.05288116,-0.16203037,-0.5711464,-0.45807242,0.7991437,-0.10980885,-0.23858294,-1.1959231,0.27732572,0.53628093,0.28664976,1.036749,-0.11686637,0.10777642,-0.38340855,0.07482827,0.6285806,0.6876573,0.24165371,-0.19784856,-0.532551,0.6313622,0.711718,-0.5765836,0.45605373,-0.4284518
12,0.9402972,-0.3783118,0.24821663,0.042888403,-0.33148503,-0.103839695,-0.1564094,-0.79534465,-0.08573198,-0.21983507,0.11025752,-0.6935934,-0.7316239,-0.07566178,-0.44461697,0.3912147,-0.6118392,-0.1256263,-0.050145905,0.69454104,-0.45345664,0.39164734,0.76682144,-1.0759681,-0.08348045,-0.36831522,-0.86084324,-0.6222177,1.007162,0.0765369,0.33696556,-0.7358913,-0.17619589,0.20432651,-0.9235969,-0.5577559,-0.2584831,-0.14182736,0.029179906,-0.03899591,-0.660822,-0.74557143,0.90673167,-0.1672892,0.44033718,-0.31638324,0.64546037,-0.20288126,-0.4648821,0.5843636,-0.170937,0.030571304,0.83544725,0.5171871,0.48653,0.2892648,0.75125325,0.14583404,0.47739068,0.7687881,-0.36266914,-0.5041347,-0.11405544,-0.6401487
13,0.8817254,-0.41417333,0.5820684,0.07550382,0.6897823,-0.23289631,0.049753048,-0.011673574,-1.0866568,-0.58694077,0.5808584,-0.9516105,-0.5444286,-0.16123937,-0.5117474,0.1315662,-0.3822665,-0.5741476,0.45521548,0.7937835,0.1654073,0.24969938,-0.038934365,-1.3594182,-0.86045486,-0.025771484,-0.23175526,0.020251034,-0.62126064,0.15443797,0.2858568,0.06667784,0.74494284,0.010526043,-0.98612374,-0.6148613,0.5529856,-0.38796115,0.6420213,0.07691057,-0.2104148,-0.4921722,0.657828,0.08192954,0.34537232,-0.06119587,-0.34922478,-0.44828582,0.6069168,0.6337458,-0.54432356,-0.02173922,-0.32755086,0.67704785,0.1712469,-0.3294525,0.7489071,0.50486326,-0.27461836,0.21878514,0.49612015,0.4571425,-0.7732946,0.04745877
