feature,importance_mean,importance_std
emb_40,0.037833333333333316,0.035270734204975444
emb_30,0.022944444444444434,0.015404624926813472
emb_32,0.021055555555555557,0.01903408249158063
emb_62,0.02094444444444444,0.01694999908955169
emb_41,0.019999999999999987,0.026814981071717054
emb_5,0.01938888888888888,0.012813235826506862
emb_59,0.01922222222222221,0.015576771246607455
emb_56,0.016999999999999987,0.016015424663757556
emb_63,0.015333333333333341,0.023364661508513407
emb_21,0.01505555555555555,0.018767090976059757
emb_36,0.014055555555555554,0.014874578529146764
emb_28,0.012999999999999984,0.02072036035722673
ACC__partial_autocorrelation__lag_5,0.012999999999999975,0.014015423602782472
ACC__time_reversal_asymmetry_statistic__lag_3,0.012888888888888884,0.013330555266143412
ACC__partial_autocorrelation__lag_4,0.012888888888888877,0.01685687755747353
emb_12,0.012166666666666662,0.0233077902517539
emb_61,0.011944444444444433,0.004328344706840542
emb_8,0.01166666666666665,0.00881567067118073
emb_48,0.011666666666666648,0.013103340446779122
ACC__lempel_ziv_complexity__bins_10,0.0111111111111111,0.02413375792546486
ACC__approximate_entropy__m_2__r_0.9,0.010111111111111104,0.010606019720940918
emb_3,0.009833333333333341,0.015730759362581875
ACC__approximate_entropy__m_2__r_0.1,0.009777777777777764,0.01697074461653074
emb_58,0.009444444444444434,0.009055725969766676
ACC__lempel_ziv_complexity__bins_5,0.009444444444444432,0.02011540776692409
ACC__fourier_entropy__bins_3,0.009055555555555556,0.010710269676493226
emb_60,0.00883333333333334,0.015483364230723077
ACC__time_reversal_asymmetry_statistic__lag_2,0.008500000000000008,0.018369997009348042
emb_19,0.0069444444444444475,0.005340273262532413
ACC__lempel_ziv_complexity__bins_100,0.006888888888888884,0.025287482874407567
emb_9,0.006833333333333316,0.05146543848083579
ACC__standard_deviation,0.006333333333333338,0.007736796797858787
emb_54,0.00633333333333333,0.010689789751827303
ACC__partial_autocorrelation__lag_8,0.006166666666666666,0.03247572692806388
emb_43,0.006111111111111118,0.006927757729633304
emb_24,0.005499999999999998,0.020038081029829808
ACC__variance,0.005444444444444448,0.004669972374148346
emb_52,0.0053333333333333245,0.003976784481816285
emb_17,0.00527777777777777,0.01472693844793897
emb_57,0.005111111111111109,0.019043971211545493
ACC__approximate_entropy__m_2__r_0.7,0.0048888888888888845,0.008399000528428562
emb_44,0.004888888888888883,0.017434710660130553
emb_18,0.004833333333333328,0.01770261890369283
emb_22,0.004777777777777783,0.02343522725606071
emb_49,0.004611111111111099,0.027901723474357387
emb_55,0.003888888888888886,0.017845357663085863
ACC__permutation_entropy__dimension_7__tau_1,0.0033888888888888927,0.01164071186996339
"ACC__agg_autocorrelation__f_agg_""median""__maxlag_40",0.003333333333333348,0.007597107961765197
emb_38,0.0032777777777777753,0.009955766366815638
emb_29,0.0029999999999999858,0.01179479902120497
ACC__variation_coefficient,0.002944444444444448,0.006551316897114651
ACC__time_reversal_asymmetry_statistic__lag_1,0.002944444444444439,0.009419247433963206
emb_51,0.0027222222222222313,0.007782538225705544
emb_34,0.002666666666666678,0.008147180077172498
emb_35,0.002499999999999987,0.030043692462647206
ACC__autocorrelation__lag_5,0.0024444444444444505,0.0033811386788228904
emb_31,0.0022222222222222166,0.0022703129713002885
emb_46,0.002111111111111107,0.016131787498638663
ACC__sample_entropy,0.0021111111111111027,0.002846917327848671
"ACC__agg_autocorrelation__f_agg_""mean""__maxlag_40",0.002055555555555553,0.0035642255405212036
emb_50,0.0018888888888888872,0.011705490955894128
ACC__autocorrelation__lag_4,0.00183333333333334,0.008774612650168307
ACC__autocorrelation__lag_7,0.0016111111111111083,0.0018708286933869667
ACC__autocorrelation__lag_6,0.0015555555555555561,0.0019051586888313614
ACC__autocorrelation__lag_9,0.0015555555555555503,0.0015475986974648988
ACC__autocorrelation__lag_8,0.0014999999999999974,0.0013333333333333355
emb_42,0.0014999999999999818,0.041889625693490515
emb_11,0.0013333333333333404,0.003358240279934991
ACC__approximate_entropy__m_2__r_0.3,0.0013333333333333324,0.0023399377431836473
emb_26,0.0011111111111111092,0.0033655847179691026
emb_25,0.0011111111111111022,0.04599114246444838
ACC__approximate_entropy__m_2__r_0.5,0.0010000000000000013,0.003227964232518671
emb_37,0.000666666666666664,0.004600053676552093
"ACC__agg_autocorrelation__f_agg_""var""__maxlag_40",0.0002777777777777794,0.0031914236925211265
ACC__autocorrelation__lag_0,0.0,0.0
ACC__variance_larger_than_standard_deviation,0.0,0.0
ACC__partial_autocorrelation__lag_0,0.0,0.0
ACC__autocorrelation__lag_3,-0.00011111111111109968,0.008137703743822468
ACC__fourier_entropy__bins_10,-0.00011111111111111781,0.0005719794522770612
emb_16,-0.0001666666666666674,0.010450648275715558
emb_53,-0.000166666666666683,0.03035723519023204
ACC__autocorrelation__lag_2,-0.00027777777777776797,0.010347362042306624
emb_27,-0.00033333333333334796,0.018339561231742713
emb_1,-0.0003888888888888949,0.033054668522178726
ACC__lempel_ziv_complexity__bins_2,-0.0005555555555555762,0.012344089403835202
emb_33,-0.0006111111111111206,0.023758948931318233
emb_2,-0.0006666666666666609,0.0052839145608553914
ACC__permutation_entropy__dimension_6__tau_1,-0.0015555555555555524,0.012026975852147891
emb_47,-0.0016666666666666648,0.014146499807023767
ACC__fourier_entropy__bins_100,-0.0016666666666666711,0.007819333431223029
emb_0,-0.0022222222222222235,0.013329860658881086
ACC__permutation_entropy__dimension_4__tau_1,-0.002277777777777776,0.01206771020656487
ACC__permutation_entropy__dimension_5__tau_1,-0.002499999999999998,0.01303840481040531
ACC__partial_autocorrelation__lag_9,-0.0026111111111111196,0.015018096080280749
emb_7,-0.0026111111111111213,0.008315907706778279
emb_15,-0.0026666666666666757,0.01119220407689057
ACC__permutation_entropy__dimension_3__tau_1,-0.0027777777777777783,0.012871635962288531
ACC__partial_autocorrelation__lag_2,-0.0028333333333333396,0.024200423422476757
ACC__partial_autocorrelation__lag_3,-0.0028888888888888966,0.012644961910911204
emb_14,-0.003111111111111115,0.022414721793643132
ACC__lempel_ziv_complexity__bins_3,-0.0033333333333333466,0.013558287520694757
ACC__fourier_entropy__bins_2,-0.003944444444444466,0.03741508905360096
emb_20,-0.003999999999999998,0.0160973120983015
emb_39,-0.004111111111111118,0.04065907640155102
emb_45,-0.004833333333333352,0.012640079309018273
ACC__fourier_entropy__bins_5,-0.005111111111111122,0.02350111633807643
ACC__autocorrelation__lag_1,-0.0053333333333333375,0.017011615494373116
ACC__partial_autocorrelation__lag_1,-0.0053333333333333375,0.017011615494373116
emb_23,-0.006944444444444442,0.01792301782349265
emb_4,-0.008111111111111128,0.02469155401156788
ACC__partial_autocorrelation__lag_6,-0.00855555555555556,0.02294881583324396
ACC__partial_autocorrelation__lag_7,-0.00900000000000002,0.033894626108165675
emb_10,-0.009777777777777795,0.029203098939227696
emb_6,-0.010833333333333337,0.039883317469158464
emb_13,-0.015611111111111131,0.03410106620106449
