feature,importance_mean,importance_std
ACC__lempel_ziv_complexity__bins_100,0.0613888888888889,0.05969779862351567
ACC__lempel_ziv_complexity__bins_10,0.02561111111111112,0.024667792767088016
ACC__variance,0.0218888888888889,0.020980149348054398
ACC__lempel_ziv_complexity__bins_2,0.021055555555555567,0.02448065499809601
ACC__lempel_ziv_complexity__bins_3,0.019611111111111117,0.03453286142963712
ACC__time_reversal_asymmetry_statistic__lag_3,0.019166666666666686,0.041808277873711004
ACC__fourier_entropy__bins_2,0.017111111111111126,0.038832339837871606
ACC__permutation_entropy__dimension_3__tau_1,0.01450000000000001,0.011584898641904904
ACC__fourier_entropy__bins_100,0.013611111111111124,0.032303059519509736
ACC__partial_autocorrelation__lag_5,0.01277777777777779,0.06899923957355178
ACC__permutation_entropy__dimension_4__tau_1,0.011944444444444459,0.004871813615198616
ACC__time_reversal_asymmetry_statistic__lag_2,0.011944444444444454,0.03738604083588842
ACC__permutation_entropy__dimension_5__tau_1,0.011611111111111128,0.006798238697097667
ACC__permutation_entropy__dimension_6__tau_1,0.011444444444444453,0.006616477747093066
ACC__partial_autocorrelation__lag_4,0.010611111111111116,0.05000012345663772
ACC__time_reversal_asymmetry_statistic__lag_1,0.010055555555555566,0.02109092602267211
ACC__approximate_entropy__m_2__r_0.9,0.008555555555555565,0.010303121904920583
ACC__standard_deviation,0.008444444444444456,0.027142513689463573
ACC__partial_autocorrelation__lag_9,0.008000000000000009,0.007524445757038661
ACC__autocorrelation__lag_5,0.007333333333333339,0.013257422798540407
ACC__autocorrelation__lag_8,0.006833333333333353,0.008171767114754192
ACC__autocorrelation__lag_9,0.006611111111111126,0.008682322042482813
ACC__autocorrelation__lag_6,0.006611111111111125,0.005872619034211887
ACC__partial_autocorrelation__lag_7,0.00655555555555557,0.04801864349871612
ACC__fourier_entropy__bins_3,0.006500000000000015,0.005047918529600259
ACC__autocorrelation__lag_7,0.005444444444444455,0.006160407233612944
ACC__approximate_entropy__m_2__r_0.7,0.004888888888888906,0.010135806228477057
ACC__approximate_entropy__m_2__r_0.5,0.004388888888888896,0.008646700648152759
"ACC__agg_autocorrelation__f_agg_""mean""__maxlag_40",0.004333333333333344,0.007487850241195246
ACC__fourier_entropy__bins_10,0.0030000000000000157,0.032382456003060105
ACC__autocorrelation__lag_4,0.0030000000000000074,0.015185478768616367
ACC__partial_autocorrelation__lag_8,0.0028333333333333496,0.024542983206842593
ACC__autocorrelation__lag_3,0.0015555555555555633,0.016475383807515318
ACC__fourier_entropy__bins_5,0.0013333333333333404,0.029062193845460323
ACC__autocorrelation__lag_2,0.0010555555555555583,0.022671431960961205
ACC__partial_autocorrelation__lag_0,0.0,0.0
ACC__variance_larger_than_standard_deviation,0.0,0.0
ACC__autocorrelation__lag_0,0.0,0.0
ACC__permutation_entropy__dimension_7__tau_1,-0.00016666666666666636,0.007074558835436252
"ACC__agg_autocorrelation__f_agg_""var""__maxlag_40",-0.0003888888888888803,0.05032076124568944
ACC__partial_autocorrelation__lag_6,-0.0013333333333333211,0.013134395520122443
"ACC__agg_autocorrelation__f_agg_""median""__maxlag_40",-0.0017222222222222049,0.015312989725098989
ACC__lempel_ziv_complexity__bins_5,-0.003944444444444437,0.036209864967818556
ACC__approximate_entropy__m_2__r_0.1,-0.007055555555555546,0.028502003395039877
ACC__approximate_entropy__m_2__r_0.3,-0.010499999999999985,0.018865508405749572
ACC__sample_entropy,-0.013888888888888873,0.04321636635567196
ACC__partial_autocorrelation__lag_1,-0.01405555555555554,0.024882191559228124
ACC__autocorrelation__lag_1,-0.01405555555555554,0.024882191559228124
ACC__variation_coefficient,-0.018222222222222213,0.03947635641810656
ACC__partial_autocorrelation__lag_3,-0.022777777777777765,0.035139492748434545
ACC__partial_autocorrelation__lag_2,-0.027555555555555545,0.055736206287816406
