representation,variant,fold,auc
kg,bipartite_k5,1,0.8472222222222223
kg,subject_only_k5,1,0.3194444444444444
kg,full_k5,1,0.6805555555555556
raw,baseline,1,0.4444444444444445
pca,baseline,1,0.4444444444444445
concat,full_k5,1,0.5694444444444444
kg,bipartite_k5,2,0.75
kg,subject_only_k5,2,0.6805555555555556
kg,full_k5,2,0.75
raw,baseline,2,0.5694444444444444
pca,baseline,2,0.5694444444444444
concat,full_k5,2,0.5694444444444444
kg,bipartite_k5,3,0.33333333333333337
kg,subject_only_k5,3,0.5277777777777779
kg,full_k5,3,0.5277777777777778
raw,baseline,3,0.5555555555555556
pca,baseline,3,0.5555555555555556
concat,full_k5,3,0.48611111111111116
kg,bipartite_k5,4,0.34722222222222227
kg,subject_only_k5,4,0.5833333333333334
kg,full_k5,4,0.4444444444444445
raw,baseline,4,0.7777777777777778
pca,baseline,4,0.7777777777777778
concat,full_k5,4,0.7222222222222222
kg,bipartite_k5,5,0.736111111111111
kg,subject_only_k5,5,0.3194444444444445
kg,full_k5,5,0.638888888888889
raw,baseline,5,0.5555555555555555
pca,baseline,5,0.5555555555555555
concat,full_k5,5,0.6666666666666667
