ID,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63
1,0.0201765,-0.06265382,0.19830155,-0.08752803,-0.044244323,0.13092749,-0.08780758,0.14590126,-0.24285714,0.17497273,-0.20399827,-0.044825293,0.081724815,0.018675731,-0.08277082,-0.030219499,-0.11094376,0.3735632,-0.07355957,0.032330826,0.03400024,-0.08411602,-0.20552784,-0.14613146,0.13486217,-0.08861075,-0.032323338,-0.088767216,-0.10925634,0.061148815,0.025335416,-0.103794515,0.0064210724,0.017428562,0.018636692,-0.046649106,0.17063734,0.039999254,-0.0665921,0.019629104,-0.22224113,-0.11060469,-0.14350607,0.089327894,0.008969206,0.05965666,0.030289937,-0.19717807,-0.2747373,-0.3706528,0.062037934,0.10449853,-0.07972493,0.016747242,-0.21343012,0.075548515,0.10435722,-0.019254114,-0.06485577,0.0016502738,-0.115083516,-0.07506743,0.015429066,0.31177467
5,0.03419609,-0.09321086,0.20190586,-0.08885427,-0.031919453,0.11586489,-0.096513614,0.12056613,-0.23745394,0.18424144,-0.20384546,-0.035926193,0.08417818,-0.016480036,-0.07721661,-0.04506244,-0.0871331,0.37854934,-0.09130563,0.032106705,0.050195947,-0.07887962,-0.21826726,-0.15676245,0.15819544,-0.0732311,-0.004103797,-0.06291322,-0.089561686,0.04739067,0.025834447,-0.09267803,-0.008648877,0.020093868,0.051961932,-0.020641454,0.22454442,0.024201008,-0.071317144,0.034809995,-0.21419357,-0.094382025,-0.11521241,0.095697016,0.011766443,0.08158639,0.06579158,-0.15622915,-0.253158,-0.3501974,0.07324254,0.103930734,-0.086403616,0.010825127,-0.23538995,0.031139124,0.10009087,-0.04622544,-0.10041729,-0.028921671,-0.094238035,-0.079327755,0.044860378,0.31155187
7,0.02837314,-0.074142985,0.18441945,-0.12560903,-0.04778646,0.18122044,-0.0856583,0.1419096,-0.21847908,0.2283223,-0.21889772,-0.05907893,0.09382128,0.016712036,-0.061258707,-0.030974897,-0.10392998,0.34645483,-0.0751749,0.037101757,0.03956839,-0.06911709,-0.25223282,-0.121878095,0.1246942,-0.07641864,0.015426672,-0.054831702,-0.1118208,0.027521215,0.033672348,-0.108871676,0.0042652064,0.026242267,0.05032007,-0.06666675,0.19171868,-0.004598622,-0.080935374,-0.0024075967,-0.22318438,-0.115287304,-0.14567819,0.05990185,0.005837603,0.0721356,0.05583408,-0.16794543,-0.27304918,-0.37249967,0.07834618,0.10119884,-0.05662857,0.015320483,-0.2464586,0.092241354,0.1094849,-0.04519471,-0.06645622,-0.033599373,-0.08524913,-0.08068273,0.03317735,0.29794914
8,0.016958226,-0.054891497,0.22291009,-0.084208354,-0.013847388,0.16029583,-0.093228824,0.143792,-0.24309815,0.17888124,-0.2069436,-0.0034953572,0.07684712,0.01331642,-0.08796752,-0.031649057,-0.12733111,0.35984805,-0.08510056,0.036034588,0.041615136,-0.06134647,-0.19684428,-0.14726421,0.16079858,-0.08766165,-0.012239163,-0.06589387,-0.10947847,0.030617567,0.025760446,-0.06652036,-0.02853369,0.015961975,0.033774745,-0.045410667,0.17919958,0.045361318,-0.07444765,0.025911022,-0.19657718,-0.102490105,-0.13897255,0.082406424,0.02780685,0.07718835,0.03988275,-0.19341986,-0.24986064,-0.37139553,0.0837928,0.07790639,-0.08739562,0.018368872,-0.22525826,0.05290381,0.10112937,-0.0844254,-0.08442612,-0.028317485,-0.104419895,-0.059954036,0.027698804,0.30881804
9,0.02958427,-0.06647063,0.23886783,-0.076563396,-0.037118148,0.13686241,-0.10562517,0.112891085,-0.22121927,0.19385652,-0.22317432,-0.055371895,0.056112893,0.0076260944,-0.102117546,-0.04714733,-0.12774351,0.3874364,-0.10001786,0.010556606,0.024490995,-0.11005865,-0.20879321,-0.11020153,0.14516088,-0.059454966,0.006009584,-0.04755958,-0.100479394,0.06650861,0.004816542,-0.10233057,0.024658203,0.009726946,0.023541883,-0.05161783,0.18292914,0.023777943,-0.013122224,0.004759449,-0.22265816,-0.07693114,-0.114038356,0.062404543,0.037349824,0.064419985,0.043377902,-0.21502925,-0.24588677,-0.3633359,0.063265085,0.097478844,-0.0963648,0.0055818055,-0.23750517,0.056536842,0.13271888,-0.026990494,-0.10830262,-0.025530968,-0.07091314,-0.058825575,0.031203095,0.30067408
10,0.02604501,-0.06403306,0.19925578,-0.07686822,-0.056197617,0.16516674,-0.090453714,0.13758266,-0.22887632,0.19173193,-0.20376016,-0.0137206605,0.06553239,-0.0033607406,-0.10188709,-0.035370857,-0.07928659,0.3686693,-0.10504235,0.04749377,0.017499221,-0.08530785,-0.20249489,-0.11731281,0.14430638,-0.052540064,-0.0040794704,-0.077815086,-0.1039722,0.051984575,0.017039495,-0.107133225,0.022323567,0.036954,0.019837564,-0.011155519,0.20876122,0.025419254,-0.07068361,0.021159437,-0.2302365,-0.1268627,-0.16137595,0.07544451,0.026928589,0.07254421,0.07020747,-0.17803088,-0.23682882,-0.38193288,0.07072263,0.08481843,-0.059032742,0.0015326212,-0.2334264,0.07464247,0.10305659,-0.05041362,-0.09545719,-0.0533442,-0.1009562,-0.07388155,0.029126791,0.29234385
11,0.0050719045,-0.074839436,0.1960818,-0.0798374,-0.063020095,0.15478978,-0.06941763,0.14747144,-0.2344353,0.19604142,-0.20882837,-0.03347336,0.076236695,-0.022613842,-0.054811973,-0.03051112,-0.14135031,0.36606932,-0.08572685,0.027031975,0.04390296,-0.117390566,-0.18193367,-0.15300937,0.16936268,-0.09704499,-0.03292774,-0.05329967,-0.08038414,0.052999083,0.053261567,-0.05495869,-0.05075884,0.004235024,0.06442888,-0.040966604,0.2256387,0.03817087,-0.083082005,0.023361016,-0.1937249,-0.09847766,-0.1639643,0.057405613,0.023192309,0.09137182,0.07433553,-0.20486471,-0.24057971,-0.3516232,0.08461039,0.10235539,-0.078516014,-0.0149174435,-0.23608422,0.05904396,0.09306455,-0.09006032,-0.06812223,-0.0071737873,-0.0813328,-0.07517306,0.016869519,0.28690884
13,0.0026662906,-0.07824812,0.19098192,-0.11212362,-0.043763828,0.14464861,-0.07851165,0.14009884,-0.23820964,0.22545202,-0.21007891,-0.0275276,0.066754974,-0.026098091,-0.09290562,-0.049700018,-0.104709245,0.36531025,-0.09452713,0.038101584,0.04208799,-0.08303625,-0.2352825,-0.15172578,0.1610138,-0.08601932,0.0003979892,-0.05888494,-0.11148296,0.022850838,0.03814922,-0.090753205,-0.015121687,0.016551703,0.041377913,-0.02425074,0.2037328,0.0019138374,-0.08872716,0.04486214,-0.19376011,-0.092513554,-0.12936695,0.05993003,0.03665299,0.09055919,0.038462922,-0.1432209,-0.23332208,-0.35734117,0.076299235,0.107817136,-0.08186132,0.009656505,-0.24781844,0.07982812,0.13054353,-0.03249577,-0.075505614,-0.03795941,-0.09448069,-0.08211765,0.01958674,0.29587486
14,0.019313456,-0.06891656,0.22079377,-0.07731335,-0.07657274,0.16506547,-0.10647395,0.14593385,-0.23592775,0.18093559,-0.22236079,-0.005084099,0.07884874,-0.0043141507,-0.090475015,-0.03932164,-0.114347264,0.38899225,-0.08749582,0.044680346,0.04965802,-0.12180849,-0.19563422,-0.13391125,0.123604566,-0.06799412,-0.037955612,-0.062021445,-0.10908197,0.017527666,0.04272517,-0.07590367,-0.019460406,0.0055558244,0.01537376,-0.05688501,0.17922343,0.03154931,-0.06361127,0.011701055,-0.19522053,-0.1166066,-0.14755422,0.0669737,0.02489585,0.08313877,0.031661827,-0.1770008,-0.2557159,-0.35425565,0.0854105,0.097406164,-0.109506965,0.0024811188,-0.2088726,0.028466513,0.113193,-0.051123936,-0.056926757,-0.047896825,-0.08584021,-0.091575764,-0.017806146,0.30830988
15,0.013415841,-0.03729553,0.22111842,-0.11013792,-0.057839215,0.16276717,-0.07442913,0.16506211,-0.22379127,0.1716934,-0.20382962,-0.046959493,0.0473599,0.015115671,-0.090152346,-0.04473778,-0.08961557,0.34920406,-0.09643075,0.076848105,0.035305638,-0.06745755,-0.23026666,-0.11859715,0.12632321,-0.073297225,0.022640659,-0.054026578,-0.09711625,0.041947253,-0.00061212777,-0.101630606,0.01737933,0.012083371,0.03690779,-0.031100297,0.19617592,0.034114823,-0.040020112,0.0054780175,-0.21770239,-0.12427733,-0.13764966,0.057839617,0.03602224,0.069080085,0.06678806,-0.20844209,-0.24483947,-0.3636405,0.06893447,0.10478365,-0.0693212,-0.038216263,-0.24995591,0.08963354,0.11267723,-0.05419017,-0.084851764,-0.04557692,-0.118808866,-0.05714016,-0.006785784,0.3109599
