ID,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63
1,0.018816438,0.0038848503,0.07511496,0.064384304,-0.008369627,0.07202364,-0.14414023,0.057823356,-0.18007858,0.11072477,-0.18681684,-0.038472034,0.020307077,-0.15757406,-0.068301834,-0.0114287045,-0.104133956,0.42232552,-0.06834916,-0.042905934,0.08566328,-0.06848378,-0.1672071,-0.0039861645,0.074687526,-0.13339607,-0.06107379,0.012739303,-0.10376255,0.03644893,0.08171176,-0.069894195,-0.07292306,0.08507087,0.06281804,-0.08631546,0.25748786,-0.023246769,-0.16873841,0.07930035,-0.23984542,-0.099054016,-0.06211779,0.004236657,0.033866458,0.21127202,0.029753774,-0.18059613,-0.12969963,-0.3218984,0.11049904,0.09213934,-0.13869642,-0.040491015,-0.2988565,-0.0005413933,0.024377171,-0.1658371,0.015659902,-0.11148492,-0.0518849,0.19143133,0.025798002,0.27310717
5,0.053072926,-0.004717032,0.0659414,0.043830875,-0.052122317,0.088157885,-0.1467664,0.078132816,-0.15640157,0.12272397,-0.15252113,-0.031290077,0.050499,-0.17487328,-0.08228009,0.0041877446,-0.10170081,0.41168568,-0.09973869,0.003007849,0.09034806,-0.08721356,-0.16438971,-0.01753805,0.11111038,-0.10402743,-0.096783705,0.0033579504,-0.09832422,0.07495168,0.070748635,-0.09936668,-0.07080476,0.091382794,0.018167265,-0.052630223,0.23540242,0.018430019,-0.14094412,0.04719994,-0.2369511,-0.12030064,-0.046485417,0.011470512,0.02310882,0.1912328,0.099883325,-0.1532072,-0.08788815,-0.34283483,0.11337505,0.059653446,-0.10555607,-0.07209927,-0.30432007,-0.0052445293,0.040259335,-0.16571374,0.015096951,-0.08960115,-0.04604825,0.14645736,0.040036608,0.32519013
7,-0.012848018,0.019690283,0.10374713,0.041680027,-0.027126418,0.09882379,-0.15951219,0.015355129,-0.18996054,0.10956791,-0.16724125,-0.059844825,0.034722384,-0.16799362,-0.04910267,-0.007889888,-0.12259433,0.43787986,-0.10116048,-0.05381699,0.11323544,-0.05218832,-0.14746584,-0.002194277,0.04229387,-0.14990756,-0.084690146,-0.015056864,-0.09893054,0.024835331,0.05287533,-0.05267171,-0.087689966,0.08062258,0.048373666,-0.07411384,0.2615979,-0.028141305,-0.15779214,0.089493014,-0.20019601,-0.08054277,-0.06522422,0.0247816,0.062258158,0.22696777,0.04229867,-0.20750463,-0.13398905,-0.2971507,0.13316385,0.046145745,-0.13127005,-0.041396804,-0.34399843,-0.0049683037,0.00863406,-0.1387504,0.053211022,-0.072747864,-0.016353557,0.17953461,0.026812581,0.24967276
8,0.027267052,0.018778859,0.0818134,0.027314015,-0.041327074,0.10887598,-0.1560591,0.07108686,-0.20469654,0.13685639,-0.16939399,-0.074406795,0.063116945,-0.15447137,-0.0854115,0.0006242827,-0.10864226,0.39725396,-0.06504308,-0.039209154,0.11932457,-0.042983536,-0.188652,-0.00951132,0.085652225,-0.097305715,-0.08364182,-0.019443246,-0.12529172,0.022011256,0.07181894,-0.060396783,-0.069906056,0.102173604,0.06608241,-0.09701512,0.2565138,-0.016654197,-0.17653008,0.04794677,-0.2402954,-0.09159254,-0.08489833,-0.0016822601,0.04943977,0.21381482,0.032783944,-0.18712658,-0.1221739,-0.33782932,0.10403329,0.077428795,-0.15563245,-0.029268129,-0.28925896,-0.0369806,0.015913567,-0.1571406,0.034966875,-0.08921598,-0.056745004,0.16965011,-0.0019007138,0.26405323
9,0.027696786,0.018384643,0.07543096,0.053619,-0.018884256,0.10501275,-0.17830157,0.056826815,-0.1671058,0.09744348,-0.17929327,-0.044064,0.013772564,-0.15797627,-0.06670442,-0.008243854,-0.10130659,0.3969693,-0.09992292,-0.026434232,0.08805815,-0.02568902,-0.20325933,-0.026617866,0.08123379,-0.12364083,-0.07084411,0.0041342904,-0.094085455,0.054662127,0.040386967,-0.07454477,-0.08799755,0.08214928,0.03611899,-0.08319094,0.24536768,-0.03277165,-0.18267271,0.088118576,-0.22671483,-0.082111694,-0.02988342,0.034594104,0.03802083,0.20475487,0.071858875,-0.16472122,-0.12360251,-0.35268554,0.0833689,0.05546033,-0.07686151,-0.07731472,-0.31745186,-0.038074035,0.028826049,-0.12183676,0.02546952,-0.0934813,-0.0462215,0.2000159,0.01587658,0.29169035
10,0.026206106,0.002829412,0.094796784,0.037564125,-0.010151904,0.09460119,-0.15353212,0.030804573,-0.18435466,0.10254954,-0.1856635,-0.060217522,0.04119769,-0.17669907,-0.064535715,0.012547477,-0.10950801,0.41367543,-0.07268703,-0.058130436,0.102742106,-0.05883778,-0.16512333,-0.00022981886,0.05419456,-0.13962027,-0.07481455,-0.005731432,-0.12984441,0.067039736,0.034761433,-0.064443,-0.082425885,0.11535176,0.050631724,-0.08304318,0.26220182,-0.060760245,-0.16521342,0.08262583,-0.21477714,-0.08865225,-0.046055418,0.03877968,0.060422543,0.22462669,0.018995114,-0.19934304,-0.14491145,-0.31695244,0.07867652,0.05774129,-0.11955642,-0.044763714,-0.32191998,-0.013236027,-0.0022211266,-0.13220179,0.035326764,-0.07871938,-0.02519322,0.20917663,0.026549483,0.2666281
11,0.021571789,-0.013504647,0.084100276,0.05580245,-0.040469687,0.11872166,-0.12465115,0.07909802,-0.19090502,0.12511459,-0.1601205,-0.03540704,0.049963072,-0.15688731,-0.09374758,-0.030967329,-0.09581075,0.40276676,-0.0757972,-0.020549215,0.09257574,-0.08343613,-0.18775886,-0.019337695,0.089326255,-0.09715103,-0.06712874,-0.00895529,-0.10515201,0.048655264,0.07659392,-0.064590365,-0.104772195,0.07367278,0.047036722,-0.09914764,0.25224134,-0.016657736,-0.18110819,0.06065066,-0.25722033,-0.12016401,-0.05193217,-0.0015402944,0.029377978,0.19020496,0.0667934,-0.17508002,-0.113832325,-0.33220208,0.10798405,0.083139576,-0.12728101,-0.044279516,-0.2947844,-0.024616634,0.010053,-0.14996295,0.026288196,-0.10496026,-0.0363362,0.17404807,0.024571065,0.2957732
13,0.028360043,0.011613499,0.095596224,0.055684082,-0.057303835,0.06401355,-0.1803821,0.08579172,-0.17294796,0.11987786,-0.17424147,-0.07755438,0.079351336,-0.18233521,-0.091794446,-0.026497275,-0.10146634,0.4038519,-0.06580989,-0.034868445,0.10633134,-0.09421041,-0.19135302,-0.03423257,0.094883285,-0.109897144,-0.06306415,-0.0072920593,-0.13476515,0.061735652,0.056603473,-0.09861484,-0.058977194,0.10572999,0.0268394,-0.10083807,0.26879594,-0.027744776,-0.18228528,0.04828272,-0.23523651,-0.10240929,-0.055162333,0.035563294,0.019838901,0.17913792,0.05216692,-0.17363448,-0.12375181,-0.30598873,0.075208105,0.08209039,-0.12789822,-0.088628635,-0.263591,-0.026639292,0.03116468,-0.13297339,0.003824399,-0.08901718,-0.056156855,0.16053727,0.043065567,0.31432328
14,0.027931312,-0.0015653264,0.057739332,0.063171156,-0.012434305,0.12343134,-0.12611714,0.07617094,-0.16153042,0.12622671,-0.15816058,-0.052462768,0.076613545,-0.15915619,-0.056797035,0.0005125141,-0.12021465,0.393082,-0.089656144,-0.012338,0.08925826,-0.07126025,-0.18113331,-0.029765163,0.09348184,-0.12098209,-0.08348554,-0.009604203,-0.11011133,0.045262337,0.08268818,-0.08245475,-0.08001415,0.062034167,0.0575459,-0.07925732,0.2534776,-0.021772888,-0.16345209,0.029277021,-0.2561509,-0.099740535,-0.02424864,0.007767479,0.051972613,0.21465859,0.08090743,-0.15134622,-0.12136418,-0.320286,0.13125694,0.0783362,-0.10056506,-0.0426043,-0.323844,-0.017228251,0.008262234,-0.16905414,0.042305093,-0.07868647,-0.016655141,0.19106539,0.035234395,0.2948699
15,0.03364193,-0.01433432,0.0770014,0.06260099,-0.042692736,0.0955301,-0.13242917,0.06490069,-0.16599175,0.10881519,-0.16836196,-0.056314558,0.046535265,-0.1629215,-0.05981711,-0.0332954,-0.11199344,0.39029035,-0.06856374,0.012749231,0.10702596,-0.02902581,-0.20409767,-0.039717123,0.079451144,-0.11896653,-0.07634158,-0.0027108712,-0.10626479,0.07826061,0.057998627,-0.07023752,-0.09106969,0.094350226,-0.0008310898,-0.096205726,0.2607616,-0.04480297,-0.17195012,0.0677523,-0.21339917,-0.124898694,-0.042679727,0.013274485,0.052645598,0.19829074,0.07705538,-0.15752286,-0.10016212,-0.34954077,0.09361819,0.07814822,-0.108570226,-0.09391897,-0.30325103,-0.010220125,0.01302796,-0.12840122,0.034649413,-0.10456774,-0.033606663,0.17537685,0.029427875,0.299041
