ID,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63
1,-0.14231868,-0.33211464,0.43387246,0.063947864,-0.2701576,-0.03670369,-0.20957483,0.18131809,0.023405708,0.21731563,-0.037059266,0.26432645,-0.1628653,-0.29648322,-0.2053567,0.11465391,-0.27186984,0.39449805,-0.29874736,0.16275752,0.18674445,-0.073310874,-0.21274216,-0.34612197,-0.07677154,-0.47374052,-0.123186976,-0.054384284,0.068175375,0.29112786,-0.24801603,0.28151274,0.14387174,0.16434805,-0.17966543,0.43966934,0.5254122,-0.07448432,0.057485417,0.03628026,0.09667747,-0.018670408,-0.18991187,0.18440066,-0.16487482,-0.20895794,0.106675126,-0.3416015,0.20837222,-0.11675526,0.40203702,0.28558588,0.36786005,-0.45319223,-0.2461505,-0.15791318,0.093168244,-0.53256816,0.21340105,0.25717515,0.10098378,-0.057025228,0.36475298,0.2886241
2,0.18064508,0.17462333,0.60549474,-0.14619793,-0.21073319,0.058127515,-0.08242828,-0.13454568,-0.21561722,-0.010368882,-0.16209736,-0.011945322,-0.07053987,-0.090293095,-0.3568599,0.030479064,-0.37976572,0.40451393,-0.1807699,0.056942992,-0.17843296,0.0064461846,-0.04782825,-0.3292013,0.10922435,-0.16866244,-0.059068523,-0.2289404,0.105121374,-0.10959962,-0.16600135,0.18445963,0.20732366,-0.030902112,-0.06952952,0.34467298,0.6031517,-0.1926007,0.28529862,0.046129763,0.1954861,-0.12477558,-0.009759478,0.081015006,0.14340118,-0.041603684,-0.21811536,-0.1497279,0.5737282,-0.09679883,0.13441892,0.36571813,-0.008462944,0.012875498,-0.41057503,-0.25471213,0.20766814,-0.018846162,-0.21726854,-0.19931449,0.09083908,-0.17994401,-0.1282488,0.11562159
3,0.3835652,0.101219736,0.28811076,-0.13162021,0.17203183,-0.49943474,0.2767717,-0.5032942,-0.14390703,-0.057696488,-0.47933012,-0.3184154,-0.12208676,-0.3113162,-0.13747482,0.033922806,0.16910595,0.56309193,-0.14256702,0.25568604,0.123162046,-0.035105746,-0.16411996,0.02689991,0.29693645,-0.2010854,-0.09996233,-0.43896434,-0.19635825,-0.046165764,-0.10220522,-0.08797684,0.14289694,-0.10468599,0.14134921,0.15839565,0.46079984,-0.17234787,0.37962914,-0.019987043,-0.21167605,-0.17824449,-0.08928552,0.0799229,0.19561504,0.26142496,0.027462244,-0.08845245,0.25107247,-0.022456592,0.07715875,0.018324219,-0.26134866,0.07658867,-0.011998387,-0.08338615,0.27151936,-0.20879465,-0.2322362,-0.29953828,-0.22702442,0.082838446,-0.2734073,0.20662555
5,0.20547323,0.22592908,0.53875655,-0.22287598,-0.19791386,-0.0150364125,-0.02497417,-0.2980587,-0.22323437,-0.06496441,-0.22953258,-0.04266178,-0.07142246,-0.15613788,-0.38403392,0.036360864,-0.2741911,0.47279117,-0.17564158,0.13085707,-0.14798005,-0.024021856,-0.08147345,-0.32150674,0.18146864,-0.11403184,-0.097274415,-0.296795,0.042032823,-0.10512948,-0.14069548,0.104794994,0.20479673,-0.092775196,-0.0580226,0.26314583,0.5783475,-0.1916377,0.3481435,-0.014065468,0.15826805,-0.15062073,0.07037299,0.15065514,0.22482257,0.07273908,-0.22245537,-0.041608155,0.57856196,-0.123182386,0.14354388,0.25501347,-0.046715524,0.059126142,-0.36571318,-0.24283028,0.29572392,0.01564691,-0.24268939,-0.26010865,0.07087675,-0.18152986,-0.2835157,0.17927587
7,-0.15895319,-0.34165242,0.35813373,0.08738046,-0.33987048,0.07591372,-0.18291236,0.08164644,-0.104524754,0.1852908,0.003770653,0.29062724,-0.22806694,-0.28144786,-0.2218621,0.10476706,-0.23040499,0.40926242,-0.29898906,0.24280511,0.18908392,-0.08725706,-0.19335976,-0.35796392,-0.07615596,-0.4476718,-0.15398885,-0.07690414,0.023102386,0.28318334,-0.31294355,0.3248912,0.17634429,0.12444231,-0.14614506,0.43746498,0.5187552,-0.10315544,0.21196927,0.0125715835,0.04923309,-0.03876593,-0.1993116,0.18483672,-0.16046822,-0.18519962,0.059356008,-0.32235157,0.31261677,-0.12060245,0.3252118,0.31647375,0.29413474,-0.46414512,-0.30311182,-0.18939266,0.09542267,-0.4813287,0.20704556,0.20930994,0.18161039,-0.013167143,0.29114047,0.29378968
8,0.37977764,0.29933515,0.5143524,-0.33018675,-0.020625064,-0.040044706,-0.064262085,-0.05972981,0.086297855,-0.14275673,-0.37739283,-0.095617905,0.12398334,-0.059706647,-0.28806725,-0.02218501,-0.4332024,0.2815293,-0.12422391,-0.10754775,-0.21350229,-0.08064298,-0.11885659,-0.32413843,0.25830305,-0.06605323,0.053841095,-0.08847837,0.066163376,-0.049042534,-0.10409853,-0.15547884,0.06738132,-0.3294163,-0.16114138,0.050642733,0.421185,-0.041446257,0.051456325,0.17407499,0.27156925,-0.11846004,0.27987835,0.16730325,0.13592017,0.24970609,-0.10614245,0.042098977,0.27151337,-0.18405837,0.01580224,0.21874887,-0.042195085,0.017686516,-0.26201445,0.053015877,0.33285943,0.09952951,-0.47482643,-0.19766799,-0.13386536,-0.18411626,-0.13786244,0.14814977
9,-0.14801802,-0.20711288,0.1773469,0.036394704,-0.41234896,0.260241,-0.23338287,0.06011121,-0.106053196,0.09589074,0.043222535,0.30351216,-0.19786738,-0.26109502,-0.34697694,0.102682896,-0.28484696,0.42142135,-0.21523981,0.22623836,0.22743501,-0.10993485,-0.19322836,-0.32790405,-0.12758763,-0.353096,-0.20702748,-0.129689,-0.08189493,0.3719702,-0.2950362,0.29057622,0.20652229,-0.014402971,-0.22939104,0.28051624,0.42036933,-0.054398667,0.2829791,0.037207358,-0.023736503,-0.06856358,-0.11275195,0.20189217,-0.101076856,-0.022157665,0.090656765,-0.2052352,0.35187292,-0.24035065,0.28686485,0.2891408,0.272315,-0.4353916,-0.3356793,-0.08438545,0.19441538,-0.42379808,0.1451271,0.13830183,0.2238498,-0.008056174,0.16418757,0.35539138
11,0.3131142,0.068567134,0.34923404,-0.12007847,0.060396124,-0.47272423,0.29252398,-0.5277608,-0.24432017,-0.02580625,-0.46836057,-0.2702609,-0.14360666,-0.2800023,-0.15029874,0.042142678,0.07582859,0.61482126,-0.1374789,0.19342902,0.07665353,0.0037508742,-0.09915623,-0.011296886,0.2663839,-0.19831201,-0.13709098,-0.47783187,-0.135822,-0.09333391,-0.15961482,-0.035101738,0.24011454,-0.06580596,0.13979831,0.19400384,0.58081317,-0.23281647,0.4258174,-0.05435202,-0.17874601,-0.17808743,-0.13695061,0.07078443,0.2259957,0.13043079,-0.059186812,-0.14585267,0.34053898,-0.002340211,0.09221786,0.10286956,-0.29469147,0.08791966,-0.08237499,-0.15037861,0.26399004,-0.24381176,-0.18833554,-0.3050922,-0.14542554,-0.027429998,-0.26566648,0.18448044
13,0.39376223,0.30930054,0.14217593,-0.21015394,-0.09398382,0.14977646,0.024004336,-0.33727458,-0.12929079,-0.14453019,-0.33009982,-0.17409311,-0.048509378,-0.24886349,-0.3781848,0.043191127,-0.10035939,0.5013955,-0.055684783,0.09633934,0.059307195,-0.152966,-0.12799908,-0.122111395,0.235627,-0.08227875,-0.12601396,-0.34870774,-0.2502495,0.12908895,-0.14011467,-0.1309086,0.18039386,-0.43104398,-0.12523584,-0.08250041,0.3263885,-0.051093344,0.4538061,0.062149562,-0.17070363,-0.17932932,0.16192082,0.17205456,0.19656424,0.52039975,-0.0060590156,0.14463474,0.4027473,-0.26136217,-0.0427903,0.09977877,-0.2330975,0.0038044134,-0.27544644,0.08683631,0.40304992,-0.055618636,-0.45153525,-0.32092136,-0.13127059,0.08132005,-0.30984652,0.36037198
15,0.36413315,0.09096236,0.13896842,-0.09997177,0.04359161,-0.09383267,0.11976543,-0.34643403,-0.12343079,-0.11103099,-0.4141255,-0.25074804,-0.1201011,-0.2656572,-0.16284084,0.03387967,0.013914052,0.48798037,-0.06403899,0.06929399,0.15239924,-0.110553764,-0.1418466,-0.023127617,0.23486525,-0.11277229,-0.12131504,-0.28412622,-0.25725672,0.14383426,-0.11613867,-0.16505952,0.12946834,-0.3311652,-0.019590411,-0.108869255,0.32974622,-0.032125954,0.39031804,0.048344824,-0.2513806,-0.13647123,-0.025324453,0.13576825,0.10172509,0.48736054,0.100797266,0.02818754,0.18685871,-0.19594128,-0.06947893,0.061466627,-0.34175742,-0.08333972,-0.10758119,0.12665908,0.29490393,-0.20661552,-0.37822452,-0.25518563,-0.18222946,0.20045717,-0.20393127,0.28866807
18,0.39232126,0.08908342,0.27934286,-0.1939684,0.030144813,-0.11062657,0.09766345,-0.11311724,0.020829072,-0.15231554,-0.4290439,-0.21464372,0.044470794,-0.08731919,-0.0430627,-0.0075961547,-0.27896297,0.2780263,-0.075889274,-0.118447915,-0.026413193,-0.05823585,-0.0852473,-0.13019699,0.20877938,-0.14339337,-0.0263858,-0.027529063,-0.09141875,0.0033323434,-0.13576813,-0.2248001,0.08063411,-0.3927147,-0.06316135,-0.10928606,0.43658864,-0.039105564,0.122838825,0.18889497,0.008583988,-0.14142254,0.03344375,0.08924913,-0.043016966,0.3363056,0.031150792,-0.042342782,0.1185423,-0.1646592,-0.21849678,0.19927992,-0.3919416,-0.1955702,-0.16994542,0.18314514,0.21275388,-0.16113469,-0.53297716,-0.18353543,-0.14975713,0.039237946,-0.040476996,0.20258209
19,0.23412949,-0.19774216,0.3403428,0.083446674,0.19902097,-0.4773174,0.26367617,-0.3601282,-0.18872024,0.10570734,-0.44266108,-0.33464542,-0.2643597,-0.32786965,0.049625102,-0.006454124,0.10597209,0.46622518,-0.1854123,0.0905415,0.20014504,-0.0015111656,-0.16697478,0.16292012,0.1071783,-0.2977019,-0.10854676,-0.35178754,-0.1271728,-0.008934201,-0.14115651,-0.06444654,0.21178606,0.0510497,0.16797109,0.23365018,0.5783412,-0.26350775,0.34079665,-0.026006367,-0.30367303,-0.07257801,-0.2848385,-0.06857171,0.030154187,0.13399245,0.06841605,-0.24178123,0.02843535,0.11380421,0.058735125,0.19693387,-0.33940604,-0.084790766,0.05739718,-0.056069624,-0.018442659,-0.44811213,-0.09512998,-0.1536434,-0.19295628,0.13344193,0.01447082,0.06466136
20,0.060518824,-0.046468653,0.4689714,0.0019960792,-0.19868526,-0.042635676,0.0015759319,-0.086725354,-0.17305858,0.060560107,-0.13671376,0.08207551,-0.11121954,-0.17610127,-0.14809936,0.06343402,-0.35842195,0.43170014,-0.17692813,0.058114342,-0.036356267,0.06899405,-0.05773836,-0.17804274,-0.038958192,-0.3047021,-0.11893677,-0.16498543,0.07716007,-0.08692652,-0.18200463,0.20158409,0.21612015,0.062949136,-0.04646164,0.37733802,0.60796636,-0.20648324,0.27787453,0.010307261,0.100933254,-0.11821734,-0.15427804,-0.01126821,-0.027080243,-0.07494186,-0.07557976,-0.26436725,0.43480617,-0.054256637,0.16307358,0.35786074,-0.03944096,-0.11539901,-0.3198034,-0.21078308,0.034442853,-0.3024159,-0.04967193,-0.10141247,0.11990665,-0.13013063,0.00605974,0.09449751
21,0.27633318,0.3112127,0.0665123,-0.16123529,-0.19281816,0.22862306,-0.014519525,-0.3797849,-0.21932434,-0.11192518,-0.23933111,-0.07378639,-0.11025484,-0.31589952,-0.4687646,0.08017104,-0.057189483,0.5766863,-0.061059844,0.16017742,0.10948808,-0.1707041,-0.13744852,-0.12773953,0.17323014,-0.10321473,-0.19693074,-0.4659087,-0.28309423,0.22150299,-0.15621,-0.013016398,0.22230317,-0.37143102,-0.14850782,-0.013280422,0.3565927,-0.101233035,0.54589033,0.005199959,-0.20463471,-0.14459063,0.105298206,0.18840839,0.2308812,0.5003568,0.022161216,0.13929346,0.48849446,-0.28572723,0.03157481,0.12618637,-0.1665338,0.00750278,-0.2968707,0.044451304,0.3952805,-0.074864574,-0.3438032,-0.29835367,-0.04142738,0.072834454,-0.341438,0.37721765
22,0.2150509,0.07225989,0.75172454,-0.31529364,0.0787614,-0.46930328,-0.106319144,0.04454031,0.27931234,0.07659271,-0.367762,-0.066277586,0.033053413,-0.11892375,-0.27522114,0.0040540667,-0.26019955,0.2811229,-0.24498567,0.13684744,-0.13708818,-0.06085044,-0.31953025,-0.5272888,0.2723101,-0.31968492,0.03960878,-0.123745464,0.18422058,0.048352495,-0.12925392,0.06330268,-0.012429423,0.06624363,-0.04750794,0.3848183,0.49232876,-0.13534854,-0.2856381,0.042133834,0.3612153,-0.026945565,0.15261133,0.25586006,0.16542329,-0.22090176,-0.10587966,-0.123489805,0.23308745,-0.029963667,0.46135658,0.12056365,0.43500334,0.0362132,-0.09775188,-0.17504989,0.34237075,-0.025835369,-0.031679865,0.12107919,-0.22707672,-0.27524662,0.08929528,0.17318052
23,0.32830235,-0.088563226,0.1405217,-0.056783058,-0.023823341,0.02559306,0.0049731894,-0.031362444,0.06655457,-0.11891913,-0.34690854,-0.17839319,-0.07194212,-0.24413662,-0.08596621,-0.02674826,-0.14723377,0.33090016,-0.11945469,-0.036609046,0.23400092,-0.16512713,-0.14839387,-0.10297922,0.14752936,-0.23413955,-0.08814101,0.040607892,-0.22923699,0.24673551,-0.16325709,-0.19845116,0.059869498,-0.343997,-0.108659826,-0.1631054,0.31569377,0.08480382,0.14589766,0.15044649,-0.21768978,-0.11363522,-0.05152188,0.08914244,-0.12638421,0.47985107,0.19183542,-0.039123468,0.0051976047,-0.2534431,-0.16009806,0.15759963,-0.2712319,-0.3973286,-0.122883715,0.28962544,0.17727296,-0.31428003,-0.43647674,-0.06375749,-0.17303446,0.24037355,0.10885052,0.308546
