feature,importance_mean,importance_std
ACC__partial_autocorrelation__lag_4,0.025000000000000022,0.02824878452536486
emb_23,0.01772222222222224,0.02825228058094942
ACC__variance,0.01461111111111112,0.022638871847300995
emb_59,0.012222222222222242,0.04031473400355977
emb_15,0.012166666666666666,0.02218427315258811
emb_43,0.010500000000000015,0.025506837621157564
ACC__lempel_ziv_complexity__bins_10,0.009666666666666681,0.014263178874463359
emb_44,0.009333333333333343,0.023571928272187147
ACC__lempel_ziv_complexity__bins_100,0.007333333333333349,0.028468414379518043
ACC__time_reversal_asymmetry_statistic__lag_2,0.0072777777777777875,0.020186170550193058
emb_34,0.007166666666666671,0.01376433035506837
emb_24,0.0067777777777777905,0.013313179212372243
ACC__permutation_entropy__dimension_5__tau_1,0.006722222222222229,0.015846875300516598
ACC__lempel_ziv_complexity__bins_3,0.006388888888888902,0.019808496742809045
ACC__partial_autocorrelation__lag_7,0.006333333333333346,0.027553763382580043
ACC__permutation_entropy__dimension_6__tau_1,0.006000000000000007,0.015706214858621562
emb_42,0.005944444444444464,0.022744962812309297
emb_19,0.005888888888888896,0.015938152068481
ACC__permutation_entropy__dimension_4__tau_1,0.004888888888888894,0.014084839936945764
ACC__lempel_ziv_complexity__bins_5,0.0048333333333333475,0.009433981132056603
ACC__standard_deviation,0.004611111111111125,0.017385959994727678
ACC__approximate_entropy__m_2__r_0.5,0.004555555555555558,0.005129796761550578
emb_30,0.004166666666666678,0.030267837308084005
ACC__fourier_entropy__bins_5,0.004111111111111116,0.01678973084145173
ACC__partial_autocorrelation__lag_8,0.0040555555555555674,0.022240686773302373
emb_21,0.003833333333333333,0.00695532480980411
emb_47,0.0036666666666666835,0.019250140291295743
emb_61,0.0033888888888889044,0.012858921099837719
emb_46,0.003166666666666676,0.004096068575814848
ACC__permutation_entropy__dimension_3__tau_1,0.0030000000000000057,0.01238452838059957
ACC__approximate_entropy__m_2__r_0.7,0.002444444444444455,0.006738959878713737
ACC__partial_autocorrelation__lag_6,0.0023888888888889065,0.02240315233550627
ACC__fourier_entropy__bins_3,0.0023888888888888974,0.009796698864514265
emb_25,0.002222222222222231,0.014065543223524617
emb_33,0.0016111111111111176,0.004738208235604535
ACC__permutation_entropy__dimension_7__tau_1,0.0013333333333333474,0.01558766527232269
ACC__fourier_entropy__bins_2,0.0011666666666666832,0.011448219442125542
emb_58,0.0011111111111111276,0.01629587541544041
emb_28,0.0010000000000000176,0.02003746490951385
emb_0,0.0007777777777777863,0.01553311873957633
ACC__lempel_ziv_complexity__bins_2,0.0006666666666666897,0.019885164145322484
emb_11,0.0003888888888889056,0.0346853582088188
emb_9,0.00011111111111111703,0.007747161965424393
ACC__approximate_entropy__m_2__r_0.9,5.555555555556944e-05,0.0067435382880187715
