feature,importance_mean,importance_std
ACC__lempel_ziv_complexity__bins_100,0.06138888888888888,0.059697798623515666
ACC__lempel_ziv_complexity__bins_10,0.025611111111111105,0.024667792767088022
ACC__variance,0.02188888888888888,0.020980149348054387
ACC__lempel_ziv_complexity__bins_2,0.021055555555555557,0.024480654998095996
ACC__lempel_ziv_complexity__bins_3,0.019611111111111114,0.034532861429637116
ACC__time_reversal_asymmetry_statistic__lag_3,0.019166666666666658,0.04180827787371101
ACC__fourier_entropy__bins_2,0.017111111111111105,0.03883233983787162
ACC__permutation_entropy__dimension_3__tau_1,0.01449999999999999,0.011584898641904883
ACC__fourier_entropy__bins_100,0.01361111111111111,0.032303059519509715
ACC__partial_autocorrelation__lag_5,0.012777777777777782,0.06899923957355181
ACC__time_reversal_asymmetry_statistic__lag_2,0.011944444444444447,0.03738604083588841
ACC__permutation_entropy__dimension_4__tau_1,0.011944444444444438,0.004871813615198611
ACC__permutation_entropy__dimension_5__tau_1,0.01161111111111111,0.006798238697097655
ACC__permutation_entropy__dimension_6__tau_1,0.011444444444444443,0.006616477747093069
ACC__partial_autocorrelation__lag_4,0.010611111111111104,0.050000123456637714
ACC__time_reversal_asymmetry_statistic__lag_1,0.010055555555555557,0.021090926022672096
ACC__approximate_entropy__m_2__r_0.9,0.008555555555555556,0.010303121904920566
ACC__standard_deviation,0.00844444444444444,0.027142513689463542
ACC__partial_autocorrelation__lag_9,0.008000000000000007,0.007524445757038671
ACC__autocorrelation__lag_5,0.007333333333333331,0.013257422798540405
ACC__autocorrelation__lag_8,0.006833333333333337,0.008171767114754177
ACC__autocorrelation__lag_6,0.006611111111111118,0.0058726190342118815
ACC__autocorrelation__lag_9,0.006611111111111111,0.008682322042482806
ACC__partial_autocorrelation__lag_7,0.0065555555555555645,0.048018643498716096
ACC__fourier_entropy__bins_3,0.006499999999999994,0.005047918529600233
ACC__autocorrelation__lag_7,0.005444444444444448,0.006160407233612941
ACC__approximate_entropy__m_2__r_0.7,0.004888888888888882,0.010135806228477054
ACC__approximate_entropy__m_2__r_0.5,0.004388888888888884,0.00864670064815275
"ACC__agg_autocorrelation__f_agg_""mean""__maxlag_40",0.004333333333333333,0.0074878502411952685
ACC__fourier_entropy__bins_10,0.0029999999999999966,0.03238245600306012
ACC__autocorrelation__lag_4,0.0029999999999999892,0.015185478768616367
ACC__partial_autocorrelation__lag_8,0.0028333333333333275,0.024542983206842603
ACC__autocorrelation__lag_3,0.0015555555555555444,0.016475383807515318
ACC__fourier_entropy__bins_5,0.0013333333333333391,0.0290621938454603
ACC__autocorrelation__lag_2,0.0010555555555555557,0.022671431960961212
ACC__partial_autocorrelation__lag_0,0.0,0.0
ACC__variance_larger_than_standard_deviation,0.0,0.0
ACC__autocorrelation__lag_0,0.0,0.0
ACC__permutation_entropy__dimension_7__tau_1,-0.00016666666666666463,0.007074558835436275
"ACC__agg_autocorrelation__f_agg_""var""__maxlag_40",-0.00038888888888888307,0.05032076124568941
ACC__partial_autocorrelation__lag_6,-0.0013333333333333329,0.013134395520122433
"ACC__agg_autocorrelation__f_agg_""median""__maxlag_40",-0.0017222222222222216,0.015312989725098994
ACC__lempel_ziv_complexity__bins_5,-0.003944444444444449,0.036209864967818556
ACC__approximate_entropy__m_2__r_0.1,-0.007055555555555554,0.028502003395039853
ACC__approximate_entropy__m_2__r_0.3,-0.010499999999999987,0.018865508405749545
ACC__sample_entropy,-0.013888888888888885,0.043216366355671935
ACC__autocorrelation__lag_1,-0.014055555555555566,0.024882191559228127
ACC__partial_autocorrelation__lag_1,-0.014055555555555566,0.024882191559228127
ACC__variation_coefficient,-0.01822222222222223,0.03947635641810655
ACC__partial_autocorrelation__lag_3,-0.022777777777777775,0.03513949274843453
ACC__partial_autocorrelation__lag_2,-0.027555555555555566,0.05573620628781642
